Countries or Regions,Currency Code,Price,Apple Price Tier (USD),Original USD Equiv,Diff %
United States,USD,34.99,44.99,44.97,0.0%
Afghanistan,USD,11.64,14.99,14.97,0.1%
Albania,USD,16.29,20.99,20.97,0.1%
Algeria,USD,12.79,15.99,16.47,-2.9%
Angola,USD,11.64,14.99,14.97,0.1%
Anguilla,USD,34.99,44.99,44.97,0.0%
Argentina,USD,18.64,23.99,23.97,0.1%
Armenia,USD,16.29,20.99,20.97,0.1%
Australia,AUD,58.24,49.99,49.50,1.0%
Austria,EUR,34.94,49.99,47.97,4.2%
Azerbaijan,USD,16.29,20.99,20.97,0.1%
Bahamas,USD,34.99,44.99,44.97,0.0%
Bahrain,USD,34.99,44.99,44.97,0.0%
Barbados,USD,30.28,38.99,38.97,0.1%
Belarus,USD,16.29,20.99,20.97,0.1%
Belgium,EUR,34.94,49.99,47.97,4.2%
Belize,USD,13.96,17.99,17.97,0.1%
Benin,USD,11.64,14.99,14.97,0.1%
Bermuda,USD,34.99,44.99,44.97,0.0%
Bhutan,USD,11.64,14.99,14.97,0.1%
Bolivia,USD,11.64,14.99,14.97,0.1%
Botswana,USD,13.96,17.99,17.97,0.1%
Brazil,BRL,92.99,19.99,20.40,-2.0%
British Virgin Islands,USD,34.99,44.99,44.97,0.0%
Brunei,USD,30.28,38.99,38.97,0.1%
Bulgaria,EUR,16.29,21.99,22.38,-1.7%
Burkina Faso,USD,11.64,14.99,14.97,0.1%
Cambodia,USD,11.64,14.99,14.97,0.1%
Cameroon,USD,11.64,14.99,14.97,0.1%
Canada,CAD,46.59,44.99,44.25,1.7%
Cape Verde,USD,11.64,14.99,14.97,0.1%
Cayman Islands,USD,34.99,44.99,44.97,0.0%
Chad,USD,7.67,9.99,9.87,1.2%
Chile,CLP,20749.00,26.99,26.97,0.1%
Colombia,COP,69679.00,20.99,21.00,-0.0%
Costa Rica,USD,17.47,21.99,22.47,-2.1%
Côte d'Ivoire,USD,11.64,14.99,14.97,0.1%
Croatia,EUR,23.28,31.99,31.98,0.0%
Cyprus,EUR,34.94,49.99,47.97,4.2%
Czech Republic,CZK,813.00,44.99,44.97,0.0%
Denmark,DKK,254.00,44.99,46.47,-3.2%
Dominica,USD,30.28,38.99,38.97,0.1%
Dominican Republic,USD,16.29,20.99,20.97,0.1%
Ecuador,USD,13.96,17.99,17.97,0.1%
Egypt,EGP,580.00,14.99,15.00,-0.1%
El Salvador,USD,13.96,17.99,17.97,0.1%
Estonia,EUR,32.59,44.99,44.76,0.5%
Eswatini,USD,12.79,15.99,16.47,-2.9%
Fiji,USD,13.96,17.99,17.97,0.1%
Finland,EUR,34.94,49.99,47.97,4.2%
France,EUR,34.94,49.99,47.97,4.2%
Gabon,USD,18.64,23.99,23.97,0.1%
Gambia,USD,6.97,8.99,8.97,0.2%
Georgia,USD,16.29,20.99,20.97,0.1%
Germany,EUR,34.94,49.99,47.97,4.2%
Ghana,USD,11.64,14.99,14.97,0.1%
Greece,EUR,30.28,39.99,41.58,-3.8%
Grenada,USD,30.28,38.99,38.97,0.1%
Guatemala,USD,13.96,17.99,17.97,0.1%
Guinea-Bissau,USD,6.97,8.99,8.97,0.2%
Guyana,USD,13.96,17.99,17.97,0.1%
Honduras,USD,11.64,14.99,14.97,0.1%
Hong Kong,HKD,277.00,44.99,46.47,-3.2%
Hungary,HUF,12814.00,44.99,44.97,0.0%
Iceland,USD,34.99,44.99,44.97,0.0%
India,INR,930.00,13.99,14.40,-2.8%
Indonesia,IDR,184210.00,13.99,14.40,-2.8%
Iraq,USD,11.64,14.99,14.97,0.1%
Ireland,EUR,34.94,49.99,47.97,4.2%
Israel,ILS,128.14,44.99,46.47,-3.2%
Italy,EUR,34.94,49.99,47.97,4.2%
Jamaica,USD,13.96,17.99,17.97,0.1%
Japan,JPY,4659.00,39.99,40.47,-1.2%
Jordan,USD,23.28,29.99,29.97,0.1%
Kazakhstan,KZT,8154.00,20.99,20.97,0.1%
Kenya,USD,11.64,14.99,14.97,0.1%
Kosovo,EUR,16.29,21.99,22.38,-1.7%
Kuwait,USD,34.99,44.99,44.97,0.0%
Kyrgyzstan,USD,9.30,11.99,11.97,0.2%
Laos,USD,9.30,11.99,11.97,0.2%
Latvia,EUR,32.59,44.99,44.76,0.5%
Lebanon,USD,13.96,17.99,17.97,0.1%
Liberia,USD,6.97,8.99,8.97,0.2%
Libya,USD,18.64,23.99,23.97,0.1%
Lithuania,EUR,32.59,44.99,44.76,0.5%
Luxembourg,EUR,34.94,49.99,47.97,4.2%
Madagascar,USD,11.64,14.99,14.97,0.1%
Malawi,USD,11.64,14.99,14.97,0.1%
Malaysia,MYR,76.69,21.99,22.20,-0.9%
Maldives,USD,23.28,29.99,29.97,0.1%
Mali,USD,11.64,14.99,14.97,0.1%
Malta,EUR,34.94,49.99,47.97,4.2%
Mauritania,USD,11.64,14.99,14.97,0.1%
Mauritius,USD,11.64,14.99,14.97,0.1%
Mexico,MXN,347.00,21.99,22.20,-0.9%
Micronesia,USD,11.64,14.99,14.97,0.1%
Moldova,USD,16.29,20.99,20.97,0.1%
Mongolia,USD,11.64,14.99,14.97,0.1%
Montserrat,USD,34.99,44.99,44.97,0.0%
Morocco,USD,18.64,23.99,23.97,0.1%
Mozambique,USD,6.97,8.99,8.97,0.2%
Myanmar,USD,11.64,14.99,14.97,0.1%
