Countries or Regions,Currency Code,Price,Apple Price Tier (USD),Original USD Equiv,Diff %
United States,USD,119.99,119.99,120.00,-0.0%
Albania,EUR,55.99,74.99,74.64,0.5%
Algeria,DZD,5999.00,49.99,50.04,-0.1%
Angola,USD,39.99,39.99,39.96,0.1%
Antigua & Barbuda,USD,119.99,119.99,120.00,-0.0%
Argentina,ARS,63999.00,64.99,63.96,1.6%
Armenia,AMD,22399.00,54.99,56.04,-1.9%
Aruba,USD,119.99,119.99,120.00,-0.0%
Australia,AUD,199.99,159.99,158.28,1.1%
Austria,EUR,119.99,159.99,159.72,0.2%
Azerbaijan,AZN,95.99,64.99,67.20,-3.3%
Bahamas,USD,119.99,119.99,120.00,-0.0%
Bahrain,BHD,47.99,159.99,159.96,0.0%
Bangladesh,BDT,4799.00,39.99,39.96,0.1%
Belarus,BYN,184.00,64.99,67.08,-3.1%
Belgium,EUR,119.99,159.99,159.72,0.2%
Belize,USD,47.99,49.99,48.00,4.1%
Benin,XOF,27999.00,54.99,56.04,-1.9%
Bermuda,USD,119.99,119.99,120.00,-0.0%
Bolivia,BOB,279.99,49.99,48.00,4.1%
Bosnia & Herzegovina,BAM,103.99,64.99,67.08,-3.1%
Botswana,BWP,639.99,54.99,56.88,-3.3%
Brazil,BRL,319.00,64.99,67.20,-3.3%
British Virgin Islands,USD,119.99,119.99,120.00,-0.0%
Bulgaria,BGN,103.99,64.99,67.08,-3.1%
Burkina Faso,XOF,23999.00,49.99,48.00,4.1%
Cambodia,USD,39.99,39.99,39.96,0.1%
Cameroon,XAF,23999.00,49.99,48.00,4.1%
Canada,CAD,159.99,139.99,141.12,-0.8%
Cape Verde,CVE,3999.00,49.99,48.00,4.1%
Cayman Islands,USD,119.99,119.99,120.00,-0.0%
Chad,XAF,15999.00,31.99,32.04,-0.2%
Chile,CLP,71199.00,84.99,86.28,-1.5%
China,CNY,279.99,44.99,46.32,-2.9%
Colombia,COP,239000.00,64.99,67.08,-3.1%
Congo - Brazzaville,XAF,23999.00,49.99,48.00,4.1%
Congo - Kinshasa,CDF,59999.00,28.99,28.80,0.7%
Costa Rica,CRC,31999.00,69.99,71.88,-2.6%
Côte d'Ivoire,XOF,23999.00,44.99,47.16,-4.6%
Croatia,EUR,79.99,109.99,106.56,3.2%
Cyprus,EUR,119.99,159.99,159.72,0.2%
Czech Republic,CZK,2789.00,139.99,143.52,-2.5%
