Countries or Regions,Currency Code,Price,Apple Price Tier (USD),Original USD Equiv,Diff %
United States,USD,14.99,14.99,14.99,0.0%
Albania,EUR,6.99,7.49,7.46,0.4%
Algeria,DZD,750.00,5.49,5.50,-0.2%
Angola,USD,4.99,4.99,4.99,0.0%
Antigua & Barbuda,USD,14.99,14.99,14.99,0.0%
Argentina,ARS,7999.00,7.99,7.99,0.0%
Armenia,AMD,2799.00,6.99,6.99,0.0%
Aruba,USD,14.99,14.99,14.99,0.0%
Australia,AUD,24.99,16.99,16.50,3.0%
Austria,EUR,14.99,15.99,15.99,0.0%
Azerbaijan,AZN,11.99,6.99,6.99,0.0%
Bahamas,USD,14.99,14.99,14.99,0.0%
Bahrain,BHD,5.99,15.99,15.99,0.0%
Bangladesh,BDT,599.00,4.99,5.00,-0.2%
Belarus,BYN,22.99,6.99,6.99,0.0%
Belgium,EUR,14.99,15.99,15.99,0.0%
Belize,USD,5.99,5.99,5.99,0.0%
Benin,XOF,3499.00,5.99,5.83,2.7%
Bermuda,USD,14.99,14.99,14.99,0.0%
Bolivia,BOB,34.99,4.99,4.99,0.0%
Bosnia & Herzegovina,BAM,12.99,6.99,6.99,0.0%
Botswana,BWP,79.99,5.99,5.99,0.0%
Brazil,BRL,39.90,6.99,6.80,2.8%
British Virgin Islands,USD,14.99,14.99,14.99,0.0%
Bulgaria,BGN,12.99,6.99,6.99,0.0%
Burkina Faso,XOF,2999.00,4.99,5.00,-0.2%
Cambodia,USD,4.99,4.99,4.99,0.0%
Cameroon,XAF,2999.00,4.99,5.00,-0.2%
Canada,CAD,19.99,14.99,14.75,1.6%
Cape Verde,CVE,499.00,4.99,4.99,0.0%
Cayman Islands,USD,14.99,14.99,14.99,0.0%
Chad,XAF,1999.00,3.49,3.33,4.8%
Chile,CLP,8900.00,8.99,8.99,0.0%
China,CNY,34.99,4.99,4.83,3.3%
Colombia,COP,29900.00,6.99,7.00,-0.1%
Congo - Brazzaville,XAF,2999.00,4.99,4.99,0.0%
Congo - Kinshasa,CDF,7499.00,2.99,2.99,0.0%
Costa Rica,CRC,3999.00,7.49,7.49,0.0%
Côte d'Ivoire,XOF,2999.00,4.99,5.00,-0.2%
Croatia,EUR,9.99,10.99,10.66,3.1%
Cyprus,EUR,14.99,15.99,15.99,0.0%
Czech Republic,CZK,349.00,14.99,14.99,0.0%
